benchmark,selected,solved,runtime
QF_IDL/20210312-Bouvier/vlsat3_c01.smt2,OpenSMT,0,1201.220166443003
QF_IDL/20210312-Bouvier/vlsat3_c03.smt2,Z3alpha,1,22.67312453800696
QF_IDL/20210312-Bouvier/vlsat3_c11.smt2,Z3alpha,1,86.70397464701091
QF_IDL/20210312-Bouvier/vlsat3_c12.smt2,OpenSMT,0,1201.2198144780123
QF_IDL/20210312-Bouvier/vlsat3_c13.smt2,Yices2,0,1201.2196466509777
QF_IDL/20210312-Bouvier/vlsat3_c15.smt2,Z3alpha,1,132.6395492249867
QF_IDL/20210312-Bouvier/vlsat3_c23.smt2,OpenSMT,0,1201.237451196008
QF_IDL/20210312-Bouvier/vlsat3_c48.smt2,OpenSMT,0,1201.2224478699936
QF_IDL/20210312-Bouvier/vlsat3_c54.smt2,Z3alpha,1,15.281248854007572
QF_IDL/20210312-Bouvier/vlsat3_c58.smt2,OpenSMT,0,1201.2199150459928
QF_IDL/20210312-Bouvier/vlsat3_c66.smt2,OpenSMT,0,1201.217003244994
QF_IDL/20210312-Bouvier/vlsat3_c98.smt2,OpenSMT,0,1201.2718745629973
QF_IDL/20210312-Bouvier/vlsat3_i12.smt2,Z3alpha,1,2.323634849017253
QF_IDL/20210312-Bouvier/vlsat3_i18.smt2,SMTInterpol,0,1201.7166367000318
QF_IDL/20210312-Bouvier/vlsat3_i23.smt2,Z3alpha,1,15.651693101011915
QF_IDL/20210312-Bouvier/vlsat3_i27.smt2,Z3alpha,1,165.45713915099623
QF_IDL/20210312-Bouvier/vlsat3_i30.smt2,Z3alpha,1,159.17111499997554
QF_IDL/20210312-Bouvier/vlsat3_i31.smt2,SMTInterpol,0,1201.7252465710044
QF_IDL/20210312-Bouvier/vlsat3_i41.smt2,Z3alpha,1,245.2489346640068
QF_IDL/20210312-Bouvier/vlsat3_i45.smt2,Z3alpha,1,31.585244318994228
QF_IDL/20210312-Bouvier/vlsat3_i57.smt2,Z3alpha,1,703.5170332950074
QF_IDL/20210312-Bouvier/vlsat3_i62.smt2,Z3alpha,1,1191.5628935190034
QF_IDL/20210312-Bouvier/vlsat3_i63.smt2,Z3alpha,1,378.42685880800127
QF_IDL/20210312-Bouvier/vlsat3_i73.smt2,Z3alpha,1,299.85477092300425
QF_IDL/20210312-Bouvier/vlsat3_i75.smt2,Z3alpha,0,1201.714994281996
QF_IDL/20210312-Bouvier/vlsat3_i92.smt2,Z3alpha,1,952.4458293670032
QF_IDL/20210312-Bouvier/vlsat3_i97.smt2,Z3alpha,0,1201.7191643390106
QF_IDL/20220214-RVpredict-BohanLi/RVpredict_11.smt2,Yices2,1,0.2400627449969761
QF_IDL/20220214-RVpredict-BohanLi/RVpredict_6.smt2,Yices2,1,10.353963748988463
QF_IDL/20220214-jobshop-BohanLi/jobshop12-2-6-6-2-4-12.smt2,Yices2,1,0.2739195029716939
QF_IDL/20220214-jobshop-BohanLi/jobshop16-4-8-8-2-4-24.smt2,Z3alpha,0,1201.7185167490097
QF_IDL/20220214-jobshop-BohanLi/jobshop2-4-1-1-2-4-24.smt2,Yices2,1,0.23496223500114866
QF_IDL/20220214-jobshop-BohanLi/jobshop28-2-14-14-2-4-12.smt2,Z3alpha,0,1201.7123701279925
QF_IDL/20220214-jobshop-BohanLi/jobshop30-4-15-15-4-4-32.smt2,Z3alpha,0,1201.7127484930097
QF_IDL/20220214-jobshop-BohanLi/jobshop4-2-2-2-2-4-12.smt2,Yices2,1,0.21485020700492896
QF_IDL/20220214-jobshop-BohanLi/jobshop46-4-23-23-2-4-24.smt2,OpenSMT,0,1201.2500951560214
QF_IDL/20220214-jobshop-BohanLi/jobshop54-2-27-27-4-4-16.smt2,Z3alpha,0,1201.7201668299967
QF_IDL/20220214-jobshop-BohanLi/jobshop6-2-3-3-2-4-12.smt2,Yices2,1,0.21428652000031434
QF_IDL/20220214-jobshop-BohanLi/jobshop6-2-3-3-4-4-16.smt2,Yices2,1,0.21589944401057437
QF_IDL/20220214-jobshop-BohanLi/jobshop8-4-4-4-4-4-32.smt2,Yices2,1,0.3084795399918221
QF_IDL/Averest/buble_sort/BubbleSort_safe_bgmc008.smt2,Yices2,1,0.26491324498783797
QF_IDL/Averest/buble_sort/BubbleSort_safe_blmc012.smt2,OpenSMT,1,0.7431664199975785
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc005.smt2,Yices2,1,0.22387553099542856
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc004.smt2,OpenSMT,1,0.42598322000412736
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc005.smt2,OpenSMT,1,0.6397899619914824
QF_IDL/Averest/parallel_search/ParallelSearch_safe_blmc000.smt2,Yices2,1,0.21327529998961836
QF_IDL/Averest/partition/Partition_safe_blmc002.smt2,Yices2,1,0.24422486199182458
QF_IDL/Averest/partition/Partition_safe_blmc003.smt2,Yices2,1,0.27071040199371055
QF_IDL/Averest/partition/Partition_safe_blmc004.smt2,Z3alpha,1,0.45549128600396216
QF_IDL/Averest/selection_sort/SelectionSort_live_bgmc004.smt2,Yices2,1,0.2260240080067888
QF_IDL/Averest/selection_sort/SelectionSort_live_blmc003.smt2,OpenSMT,1,0.2907825389993377
QF_IDL/Averest/selection_sort/SelectionSort_live_blmc005.smt2,OpenSMT,1,0.38217853600508533
QF_IDL/Averest/selection_sort/SelectionSort_safe_bgmc007.smt2,Yices2,1,0.2395564670150634
QF_IDL/Averest/selection_sort/SelectionSort_safe_bgmc008.smt2,Yices2,1,0.2341515620064456
QF_IDL/Averest/sorting_network/SortingNetwork4_live_bgmc000.smt2,Yices2,1,0.21235275801154785
QF_IDL/Averest/sorting_network/SortingNetwork4_live_blmc002.smt2,Yices2,1,0.23743662299239077
QF_IDL/Averest/sorting_network/SortingNetwork4_live_blmc003.smt2,Yices2,1,0.21446328499587253
QF_IDL/Averest/sorting_network/SortingNetwork4_safe_blmc002.smt2,Yices2,1,0.2110800069931429
QF_IDL/Averest/sorting_network/SortingNetwork8_live_blmc002.smt2,OpenSMT,1,0.2547864420048427
QF_IDL/Averest/sorting_network/SortingNetwork8_live_blmc003.smt2,OpenSMT,1,0.2518799469980877
QF_IDL/Averest/sorting_network/SortingNetwork8_live_blmc005.smt2,OpenSMT,1,0.3368640300031984
QF_IDL/Averest/sorting_network/SortingNetwork8_safe_blmc004.smt2,OpenSMT,1,0.28099807500257157
QF_IDL/Averest/sorting_network/SortingNetwork8_safe_blmc010.smt2,Z3alpha,1,0.8903430850186851
QF_IDL/DTP/DTP_k2_n35_c175_s13.smt2,Yices2,1,0.21185193498968147
QF_IDL/DTP/DTP_k2_n35_c175_s16.smt2,OpenSMT,1,0.22777085201232694
QF_IDL/DTP/DTP_k2_n35_c175_s19.smt2,Yices2,1,0.2136460189940408
QF_IDL/DTP/DTP_k2_n35_c210_s19.smt2,Yices2,1,0.21960079201380722
QF_IDL/DTP/DTP_k2_n35_c245_s16.smt2,Yices2,1,0.2575429599964991
QF_IDL/DTP/DTP_k2_n35_c245_s19.smt2,OpenSMT,1,0.26410594797926024
QF_IDL/RTCL/b01_tf_15/ckt_PROP0_tf_15.smt2,Yices2,1,0.21240917601971887
QF_IDL/RTCL/b13_tf_10/ckt_PROP3_tf_10.smt2,Yices2,1,0.22096852501272224
QF_IDL/RTCL/b13_tf_25/ckt_PROP5_tf_25.smt2,Yices2,1,0.23464042600244284
QF_IDL/asp/15Puzzle/15-puzzle.init10.smt2,Z3alpha,1,52.75627846000134
QF_IDL/asp/15Puzzle/15-puzzle.init4.smt2,Z3alpha,1,35.82768961699912
QF_IDL/asp/15Puzzle/15-puzzle.init7.smt2,Z3alpha,1,29.395574151014443
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721262093.dat.smt2,Z3alpha,1,52.67439477099106
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721277539.dat.smt2,Z3alpha,1,27.39468559899251
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721310593.dat.smt2,Z3alpha,1,21.606246537005063
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721325949.dat.smt2,Z3alpha,1,7.991126783017535
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721329185.dat.smt2,Z3alpha,1,27.220537150016753
QF_IDL/asp/ChannelRouting/channelRoute.in9.smt2,Z3alpha,1,1.6867442080110777
QF_IDL/asp/ConnectedDominatingSet/rand_50_250_1235336870_0_k=8_sat.gph.smt2,Yices2,1,1.344637918024091
QF_IDL/asp/ConnectedDominatingSet/rand_65_500_1235857888_0_k=5_unsat.gph.smt2,Yices2,1,20.192966653994517
QF_IDL/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=6_unsat.gph.smt2,Yices2,1,116.48950644399156
